title,price,image_url,details_url,fuel,year,horsepower,mileage,date,city
JEEP Compass,250.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/10/652e9f80767e6.jpg,https://www.wandaloo.com/occasion/jeep-compass-diesel-occasion-casablanca-maroc/38574.html,Diesel,2022,8 cv,13.000 km,4 décembre 2023,Casablanca
FIAT 500,156.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65578fa808d91.jpg,https://www.wandaloo.com/occasion/fiat-500-essence-occasion-casablanca-maroc/38698.html,Essence,2022,7 cv,13.000 km,4 décembre 2023,Casablanca
ABARTH 595,280.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/06/6568551e38ffa.jpg,https://www.wandaloo.com/occasion/abarth-595-essence-occasion-casablanca-maroc/38042.html,Essence,2022,8 cv,14.000 km,4 décembre 2023,Casablanca
HONDA Accord,75.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655a61b65fe37.jpeg,https://www.wandaloo.com/occasion/honda-accord-diesel-occasion-casablanca-maroc/38712.html,Diesel,2005,9 cv,150.000 km,3 décembre 2023,Casablanca
MERCEDES Classe A,305.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656c65092c907.jpg,https://www.wandaloo.com/occasion/mercedes-classe-a-diesel-occasion-casablanca-maroc/38784.html,Diesel,2019,cv,80.000 km,3 décembre 2023,Casablanca
MERCEDES Classe E,45.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656b98890e56e.jpg,https://www.wandaloo.com/occasion/mercedes-classe-e-essence-occasion-rabat-maroc/38783.html,Essence,1998,11 cv,240.000 km,2 décembre 2023,Rabat
AUDI Q3,290.000,https://www.wandaloo.com/imgs/annonce-sans-photo.jpg,https://www.wandaloo.com/occasion/audi-q3-diesel-occasion-agadir-maroc/38775.html,Diesel,2017,8 cv,66.000 km,2 décembre 2023,Agadir
KIA Rio,134.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/656865af81bbc.jpg,https://www.wandaloo.com/occasion/kia-rio-diesel-occasion-tanger-maroc/38734.html,Diesel,2016,6 cv,78.530 km,2 décembre 2023,Tanger
PEUGEOT 2008,163.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656b34d9c0993.jpeg,https://www.wandaloo.com/occasion/peugeot-2008-diesel-occasion-mohammadia-maroc/38778.html,Diesel,2020,6 cv,130.000 km,2 décembre 2023,Mohammadia
SEAT Cordoba,32.000,https://www.wandaloo.com/imgs/annonce-sans-photo.jpg,https://www.wandaloo.com/occasion/seat-cordoba-essence-occasion-temara-maroc/38779.html,Essence,2000,8 cv,253.000 km,2 décembre 2023,Temara
TOYOTA RAV 4,100.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656b2c0886d1e.jpeg,https://www.wandaloo.com/occasion/toyota-rav-4-diesel-occasion-marrakech-maroc/38777.html,Diesel,2010,9 cv,360.000 km,2 décembre 2023,Marrakech
VOLVO XC40,320.000,https://www.wandaloo.com/imgs/annonce-sans-photo.jpg,https://www.wandaloo.com/occasion/volvo-xc40-diesel-occasion-fes-maroc/38776.html,Diesel,2019,8 cv,140.000 km,2 décembre 2023,Fès
HYUNDAI Santa Fe,105.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656a474f3baba.png,https://www.wandaloo.com/occasion/hyundai-santa-fe-diesel-occasion-rabat-maroc/38774.html,Diesel,2011,9 cv,187.000 km,1 décembre 2023,Rabat
KIA Sportage,200.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656a000a1a5d4.jpeg,https://www.wandaloo.com/occasion/kia-sportage-diesel-occasion-tanger-maroc/38773.html,Diesel,2017,8 cv,51.000 km,1 décembre 2023,Tanger
VOLVO S60,155.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/6569d0bc3474a.jpeg,https://www.wandaloo.com/occasion/volvo-s60-diesel-occasion-casablanca-maroc/38771.html,Diesel,2016,6 cv,159.000 km,1 décembre 2023,Casablanca
NISSAN Juke,130.000,https://www.wandaloo.com/imgs/annonce-sans-photo.jpg,https://www.wandaloo.com/occasion/nissan-juke-diesel-occasion-casablanca-maroc/38772.html,Diesel,2016,6 cv,177.000 km,1 décembre 2023,Casablanca
OPEL Astra,185.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/6569b11ceec2b.jpg,https://www.wandaloo.com/occasion/opel-astra-diesel-occasion-casablanca-maroc/38769.html,Diesel,2019,6 cv,55.000 km,1 décembre 2023,Casablanca
VOLKSWAGEN Tiguan,140.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/6569be95e2b3a.jpeg,https://www.wandaloo.com/occasion/volkswagen-tiguan-diesel-occasion-kenitra-maroc/38770.html,Diesel,2018,8 cv,200.000 km,1 décembre 2023,Kénitra
OPEL Astra,170.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/65691a16362ce.jpeg,https://www.wandaloo.com/occasion/opel-astra-diesel-occasion-casablanca-maroc/38767.html,Diesel,2019,6 cv,115.000 km,1 décembre 2023,Casablanca
OPEL Insignia,75.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/12/656943d65d67a.jpg,https://www.wandaloo.com/occasion/opel-insignia-diesel-occasion-el-jadida-maroc/38768.html,Diesel,2010,8 cv,240.000 km,1 décembre 2023,El Jadida
TOYOTA Yaris,115.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65688a9cc1521.jpg,https://www.wandaloo.com/occasion/toyota-yaris-essence-occasion-rabat-maroc/38765.html,Essence,2020,6 cv,56.000 km,30 novembre 2023,Rabat
AUDI A4,238.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6568676a27f36.jpeg,https://www.wandaloo.com/occasion/audi-a4-diesel-occasion-casablanca-maroc/38764.html,Diesel,2016,8 cv,182.000 km,30 novembre 2023,Casablanca
RENAULT Clio,100.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65606170b4525.jpg,https://www.wandaloo.com/occasion/renault-clio-diesel-occasion-casablanca-maroc/38733.html,Diesel,2015,6 cv,119.000 km,29 novembre 2023,Casablanca
VOLKSWAGEN Tiguan,288.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655e01dc1d461.jpg,https://www.wandaloo.com/occasion/volkswagen-tiguan-diesel-occasion-casablanca-maroc/38723.html,Diesel,2016,8 cv,158.000 km,29 novembre 2023,Casablanca
FORD Focus,140.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6566eea9dac86.jpeg,https://www.wandaloo.com/occasion/ford-focus-diesel-occasion-casablanca-maroc/38762.html,Diesel,2016,6 cv,109.300 km,29 novembre 2023,Casablanca
MAZDA 6,88.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/10/653a24afc0256.jpg,https://www.wandaloo.com/occasion/mazda-6-diesel-occasion-rabat-maroc/38608.html,Diesel,2012,8 cv,189.000 km,29 novembre 2023,Rabat
VOLKSWAGEN Golf,223.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/07/656712f3db8ec.jpg,https://www.wandaloo.com/occasion/volkswagen-golf-diesel-occasion-rabat-maroc/38179.html,Diesel,2015,8 cv,195.000 km,29 novembre 2023,Rabat
OPEL Crossland,157.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65662b882ad3a.jpeg,https://www.wandaloo.com/occasion/opel-crossland-diesel-occasion-casablanca-maroc/38761.html,Diesel,2018,6 cv,149.000 km,28 novembre 2023,Casablanca
HYUNDAI i30,110.000,https://www.wandaloo.com/imgs/annonce-sans-photo.jpg,https://www.wandaloo.com/occasion/hyundai-i30-diesel-occasion-sidi-kacem-maroc/38726.html,Diesel,2013,6 cv,194.000 km,28 novembre 2023,Sidi Kacem
LAND ROVER Range Rover Evoque,218.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6565d0eeb1403.jpg,https://www.wandaloo.com/occasion/land-rover-range-rover-evoque-diesel-occasion-casablanca-maroc/38759.html,Diesel,2015,8 cv,98.000 km,28 novembre 2023,Casablanca
DACIA Duster,113.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6565cd58bea96.jpeg,https://www.wandaloo.com/occasion/dacia-duster-diesel-occasion-rabat-maroc/38758.html,Diesel,2016,6 cv,168.000 km,28 novembre 2023,Rabat
NISSAN Juke,150.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6565c9e834280.jpg,https://www.wandaloo.com/occasion/nissan-juke-diesel-occasion-rabat-maroc/38757.html,Diesel,2017,6 cv,87.700 km,28 novembre 2023,Rabat
PEUGEOT 508,110.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6565ab5f44c9d.jpg,https://www.wandaloo.com/occasion/peugeot-508-diesel-occasion-mohammadia-maroc/38755.html,Diesel,2012,8 cv,140.000 km,28 novembre 2023,Mohammadia
HYUNDAI Accent,128.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6565c6cad2561.jpg,https://www.wandaloo.com/occasion/hyundai-accent-diesel-occasion-temara-maroc/38756.html,Diesel,2023,cv,200.000 km,28 novembre 2023,Temara
FORD Focus,135.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65646f0ea5083.jpg,https://www.wandaloo.com/occasion/ford-focus-diesel-occasion-casablanca-maroc/38749.html,Diesel,2014,6 cv,127.200 km,27 novembre 2023,Casablanca
FORD Kuga,330.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6564809a42f47.jpg,https://www.wandaloo.com/occasion/ford-kuga-diesel-occasion-rabat-maroc/38750.html,Diesel,2021,8 cv,60.000 km,27 novembre 2023,Rabat
KIA Picanto,35.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6564b5a1b9ac6.jpg,https://www.wandaloo.com/occasion/kia-picanto-essence-occasion-sale-maroc/38753.html,Essence,2008,5 cv,109.000 km,27 novembre 2023,Salé
FIAT Punto,25.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6564a5cb9d80e.jpeg,https://www.wandaloo.com/occasion/fiat-punto-diesel-occasion-casablanca-maroc/38752.html,Diesel,1998,7 cv,281.000 km,27 novembre 2023,Casablanca
MERCEDES Classe A,370.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65649c97f0023.jpeg,https://www.wandaloo.com/occasion/mercedes-classe-a-diesel-occasion-casablanca-maroc/38751.html,Diesel,2020,8 cv,100.000 km,27 novembre 2023,Casablanca
KIA Picanto,87.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6564642bc103d.jpeg,https://www.wandaloo.com/occasion/kia-picanto-essence-occasion-tanger-maroc/38748.html,Essence,2017,6 cv,79.000 km,27 novembre 2023,Tanger
NISSAN Qashqai,183.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65640bc71be7f.jpg,https://www.wandaloo.com/occasion/nissan-qashqai-diesel-occasion-meknes-maroc/38747.html,Diesel,2017,6 cv,110.000 km,27 novembre 2023,Meknès
VOLKSWAGEN Arteon,320.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6563cf2d5fe2b.jpg,https://www.wandaloo.com/occasion/volkswagen-arteon-diesel-occasion-casablanca-maroc/38745.html,Diesel,2019,8 cv,81.000 km,27 novembre 2023,Casablanca
TOYOTA Corolla Berline,71.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6563a7fead36d.jpg,https://www.wandaloo.com/occasion/toyota-corolla-berline-diesel-occasion-agadir-maroc/38746.html,Diesel,2006,cv,150.000 km,26 novembre 2023,Agadir
VOLKSWAGEN CC,170.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/655dceff5cd58.jpeg,https://www.wandaloo.com/occasion/volkswagen-cc-diesel-occasion-casablanca-maroc/38722.html,Diesel,2015,8 cv,119.000 km,22 novembre 2023,Casablanca
NISSAN X-Trail,185.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/08/64eba51c7ef0c.jpg,https://www.wandaloo.com/occasion/nissan-x-trail-diesel-occasion-kenitra-maroc/38356.html,Diesel,2016,6 cv,124.000 km,26 novembre 2023,Kénitra
BMW Série 3,300.000,https://www.wandaloo.com/imgs/annonce-sans-photo.jpg,https://www.wandaloo.com/occasion/bmw-serie-3-diesel-occasion-rabat-maroc/38744.html,Diesel,2018,8 cv,66.000 km,26 novembre 2023,Rabat
AUDI A3 Berline,239.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6562493900a69.jpeg,https://www.wandaloo.com/occasion/audi-a3-berline-diesel-occasion-casablanca-maroc/38739.html,Diesel,2019,8 cv,87.600 km,25 novembre 2023,Casablanca
VOLVO C30,85.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6561f889d9cec.jpg,https://www.wandaloo.com/occasion/volvo-c30-diesel-occasion-casablanca-maroc/38738.html,Diesel,2010,6 cv,142.000 km,25 novembre 2023,Casablanca
BMW Série 1,74.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65628c71aabe5.jpeg,https://www.wandaloo.com/occasion/bmw-serie-1-essence-occasion-rabat-maroc/38741.html,Essence,2006,11 cv,182.000 km,26 novembre 2023,Rabat
FIAT Punto,108.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/656321f7d086b.jpg,https://www.wandaloo.com/occasion/fiat-punto-diesel-occasion-agadir-maroc/38743.html,Diesel,2018,5 cv,45.000 km,26 novembre 2023,Agadir
JEEP Grand Cherokee,230.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/6563223583cb9.jpg,https://www.wandaloo.com/occasion/jeep-grand-cherokee-diesel-occasion-casablanca-maroc/38742.html,Diesel,2017,12 cv,85.000 km,26 novembre 2023,Casablanca
OPEL Insignia,188.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/10/6561cbb36f696.jpg,https://www.wandaloo.com/occasion/opel-insignia-diesel-occasion-rabat-maroc/38585.html,Diesel,2019,8 cv,102.000 km,25 novembre 2023,Rabat
VOLKSWAGEN Passat,130.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/65611b7775f29.jpg,https://www.wandaloo.com/occasion/volkswagen-passat-diesel-occasion-casablanca-maroc/38736.html,Diesel,2012,8 cv,140.000 km,24 novembre 2023,Casablanca
BMW Série 5,250.000,https://www.wandaloo.com/files/Voiture-Occasion/2023/11/656113321d4bd.jpg,https://www.wandaloo.com/occasion/bmw-serie-5-diesel-occasion-tanger-maroc/38732.html,Diesel,2023,8 cv,150.000 km,24 novembre 2023,Tanger
